issue_number,title,created_at,closed_at,labels,state,html_url
50,[Bug] Colored background of highlighted text covers cursor,2021-11-20 08:27:52+00:00,2021-12-01 12:58:32+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/50
114,[Bug] Protobuf generation for FFI not working properly on linux,2021-12-02 09:31:11+00:00,2021-12-06 15:01:31+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/114
106,[Bug] Build failed on Ubuntu 20.04,2021-11-30 13:57:25+00:00,2021-12-06 15:05:02+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/106
180,[Bug] [ERROR:flutter/lib/ui/ui_dart_state.cc(209)] Unhandled Exception: Invalid argument(s): Failed to load dynamic library 'libdart_ffi.so': /lib/x86_64-linux-gnu/libc.so.6: version `GLIBC_2.32' not found ,2021-12-19 07:05:57+00:00,2021-12-19 20:08:07+00:00,bug|notes,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/180
153,[BUG] the option 'Duplicate' get cut off ,2021-12-14 13:27:39+00:00,2021-12-23 03:41:19+00:00,bug|good first issue for devs,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/153
196,[Bug] Data gets duplicated when starting the application,2021-12-23 18:17:58+00:00,2022-01-03 11:50:31+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/196
354,[Bug] Fix DocBanner widget layout issue,2022-02-20 00:49:26+00:00,2022-02-24 03:58:33+00:00,bug|good first issue for devs,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/354
369,[Bug] Mistakes in the fr.json ,2022-02-22 08:38:57+00:00,2022-02-25 01:48:48+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/369
143,[Bug] Deleting a page a second time does not ask for confirmation,2021-12-13 22:27:52+00:00,2022-04-12 08:16:07+00:00,bug|good first issue for experienced devs,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/143
509,[Bug] Select options,2022-05-26 09:58:51+00:00,2022-05-30 10:42:18+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/509
508,[Bug] Number editing,2022-05-26 09:33:18+00:00,2022-05-30 10:42:48+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/508
502,[Bug] Emoji picker stuck until reboot,2022-05-19 21:15:11+00:00,2022-06-04 06:09:09+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/502
482,"[Bug] Mac app asking to ""Create a new work area""",2022-05-04 14:18:45+00:00,2022-06-09 01:27:43+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/482
471,[Bug] Cursor sometimes jumps to top line when inputting Japanese text,2022-04-29 19:22:22+00:00,2022-06-11 18:42:49+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/471
595,[Bug] Unexpet behaviour of window when changing Appearance(Light Mode or Dark Mode),2022-07-06 14:13:25+00:00,2022-07-11 02:56:10+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/595
11,[Bug] Fonts doesn't load or text is garbled,2021-11-16 06:59:51+00:00,2022-07-28 14:17:21+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/11
811,[Bug] The height of selection areas in same line is not same.,2022-08-11 03:31:24+00:00,2022-08-11 11:08:31+00:00,bug|editor,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/811
814,[Bug] Cannot use `#` to convert text to heading,2022-08-11 03:58:02+00:00,2022-08-11 11:08:32+00:00,bug|editor,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/814
827,[Bug] Cannot format text style correctly,2022-08-11 12:14:06+00:00,2022-08-11 14:36:07+00:00,bug|editor,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/827
832,"[Bug] In the case of multiple selections, the behavior of deleting text is unexpected.",2022-08-12 05:40:17+00:00,2022-08-12 06:49:15+00:00,bug|editor,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/832
889,[Bug] Doc is not working in Ubuntu 20.04,2022-08-22 12:12:23+00:00,2022-08-23 05:14:27+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/889
918,[Bug] appflowy_editor 0.0.3,2022-08-26 03:51:24+00:00,2022-08-29 11:30:01+00:00,bug|editor,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/918
937,[Bug] appflowy_editor # doesn't work,2022-08-30 09:19:26+00:00,2022-08-31 01:38:12+00:00,bug|editor,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/937
948,"[Bug] In the case of multiple selections, the highlighted state does not meet expectations.",2022-08-31 01:42:46+00:00,2022-08-31 07:09:29+00:00,bug|editor,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/948
1047,[Bug] Can't delete card on board,2022-09-14 13:11:06+00:00,2022-09-16 13:13:08+00:00,bug|kanban board,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1047
1056,[Bug] Can't open the app after 0.0.5.1 update on MacOS,2022-09-15 13:56:20+00:00,2022-09-16 13:13:25+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1056
796,[Bug] Collapsing button is disappearing on smallest screen. ,2022-08-09 05:38:47+00:00,2022-09-21 12:06:50+00:00,bug|help wanted,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/796
1135,[Bug]: Some issues/bugs,2022-09-23 01:14:54+00:00,2022-09-24 14:04:21+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1135
1129,[Bug]: there are 2 year/month/day options in Date format.,2022-09-22 12:47:32+00:00,2022-09-25 02:58:15+00:00,bug|grid,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1129
1126,[Bug]: Help pop-up window looks weird,2022-09-22 07:35:24+00:00,2022-09-25 07:28:34+00:00,bug|improvements,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1126
856,[Bug] Resizing `Trash` window is changing screens.,2022-08-15 16:47:20+00:00,2022-09-26 07:01:34+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/856
1193,[Bug]: New note/tag bug,2022-09-28 21:42:54+00:00,2022-10-07 07:14:54+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1193
1206,[Bug]: Padding Issue on ActionItems,2022-10-02 12:05:34+00:00,2022-10-08 09:09:59+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1206
1151,[Bug]: Few pixels near the edge of grid cells behave abnormally,2022-09-24 13:02:33+00:00,2022-10-14 08:09:41+00:00,bug|grid,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1151
1306,[Bug] The document data could not be saved on Ubuntu,2022-10-17 08:35:04+00:00,2022-10-17 14:02:06+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1306
1296,[Bug] Grid: Incomplete display of the property names,2022-10-17 07:22:14+00:00,2022-10-19 01:13:44+00:00,bug|help wanted|good first issue for devs|improvements|grid|hacktoberfest,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1296
1298,[Bug] Grid: Incomplete placeholder for the Name field.,2022-10-17 07:39:28+00:00,2022-10-21 01:48:56+00:00,bug|help wanted|good first issue for devs|grid|hacktoberfest,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1298
1081,[Bug] Time input field cannot recover from bad input,2022-09-17 19:59:20+00:00,2022-10-23 10:11:50+00:00,bug,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1081
1330,[Bug] Copy paste doesn't work properly,2022-10-21 09:40:54+00:00,2022-10-25 03:25:12+00:00,bug|editor,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1330
1325,[Bug] undo Quote doesn't work,2022-10-21 09:06:36+00:00,2022-10-25 06:34:34+00:00,bug|editor,closed,https://github.com/AppFlowy-IO/AppFlowy/issues/1325
