issue_number,issue_created_at,issue_closed_at,fix_commit_sha,fix_commit_date,fixing_pr_number,mapping_confidence,mapping_method
50,2021-11-20T08:27:52+00:00,2021-12-01T12:58:32+00:00,,2021-12-01T12:58:32+00:00,,low,issue_closed_at_fallback
114,2021-12-02T09:31:11+00:00,2021-12-06T15:01:31+00:00,,2021-12-06T15:01:31+00:00,,low,issue_closed_at_fallback
106,2021-11-30T13:57:25+00:00,2021-12-06T15:05:02+00:00,,2021-12-06T15:05:02+00:00,,low,issue_closed_at_fallback
180,2021-12-19T07:05:57+00:00,2021-12-19T20:08:07+00:00,,2021-12-19T20:08:07+00:00,,low,issue_closed_at_fallback
153,2021-12-14T13:27:39+00:00,2021-12-23T03:41:19+00:00,7270c578e9e146971ff4e7ff6748a7fd96c59cc1,2021-12-23T03:41:19+00:00,193.0,medium,pull_request_keyword
196,2021-12-23T18:17:58+00:00,2022-01-03T11:50:31+00:00,,2022-01-03T11:50:31+00:00,,low,issue_closed_at_fallback
354,2022-02-20T00:49:26+00:00,2022-02-24T03:58:33+00:00,,2022-02-24T03:58:33+00:00,,low,issue_closed_at_fallback
369,2022-02-22T08:38:57+00:00,2022-02-25T01:48:48+00:00,f8f77db79b0854a903d4bce5ef2a86b174f0cd9e,2022-02-24T20:48:47-05:00,,high,commit_message_keyword
143,2021-12-13T22:27:52+00:00,2022-04-12T08:16:07+00:00,30891806309452b6ece9e6b42764d8d7d3ca715c,2022-04-12T16:16:05+08:00,,high,commit_message_keyword
509,2022-05-26T09:58:51+00:00,2022-05-30T10:42:18+00:00,,2022-05-30T10:42:18+00:00,,low,issue_closed_at_fallback
508,2022-05-26T09:33:18+00:00,2022-05-30T10:42:48+00:00,,2022-05-30T10:42:48+00:00,,low,issue_closed_at_fallback
502,2022-05-19T21:15:11+00:00,2022-06-04T06:09:09+00:00,,2022-06-04T06:09:09+00:00,,low,issue_closed_at_fallback
482,2022-05-04T14:18:45+00:00,2022-06-09T01:27:43+00:00,,2022-06-09T01:27:43+00:00,,low,issue_closed_at_fallback
471,2022-04-29T19:22:22+00:00,2022-06-11T18:42:49+00:00,,2022-06-11T18:42:49+00:00,,low,issue_closed_at_fallback
595,2022-07-06T14:13:25+00:00,2022-07-11T02:56:10+00:00,,2022-07-11T02:56:10+00:00,,low,issue_closed_at_fallback
11,2021-11-16T06:59:51+00:00,2022-07-28T14:17:21+00:00,,2022-07-28T14:17:21+00:00,,low,issue_closed_at_fallback
811,2022-08-11T03:31:24+00:00,2022-08-11T11:08:31+00:00,,2022-08-11T11:08:31+00:00,,low,issue_closed_at_fallback
814,2022-08-11T03:58:02+00:00,2022-08-11T11:08:32+00:00,,2022-08-11T11:08:32+00:00,,low,issue_closed_at_fallback
827,2022-08-11T12:14:06+00:00,2022-08-11T14:36:07+00:00,,2022-08-11T14:36:07+00:00,,low,issue_closed_at_fallback
832,2022-08-12T05:40:17+00:00,2022-08-12T06:49:15+00:00,,2022-08-12T06:49:15+00:00,,low,issue_closed_at_fallback
