tag_name,release_name,published_at,target_commitish,html_url,draft,prerelease
v8.3.4,8.3.4 (2022-01-17),2022-01-19 14:00:27+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.3.4,False,False
v8.3.5,8.3.5 (2022-02-08),2022-02-08 14:34:02+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.3.5,False,False
v8.3.6,8.3.6 (2022-02-09),2022-02-15 11:21:25+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.3.6,False,False
v8.4.0,8.4.0 (2022-02-16),2022-02-17 14:51:49+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.4.0,False,False
v8.4.1,8.4.1 (2022-02-18),2022-02-21 10:46:47+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.4.1,False,False
v8.4.2,8.4.2 (2022-02-23),2022-02-24 16:57:46+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.4.2,False,False
v8.3.7,8.3.7 (2022-03-01),2022-03-01 14:32:53+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.3.7,False,False
v8.4.3,8.4.3 (2022-03-02),2022-03-02 19:31:07+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.4.3,False,False
v8.4.4,8.4.4 (2022-03-16),2022-03-17 17:33:14+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.4.4,False,False
v8.4.5,8.4.5 (2022-03-31),2022-03-31 14:45:33+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.4.5,False,False
v8.4.6,8.4.6 (2022-04-12),2022-04-12 11:03:16+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.4.6,False,False
v8.4.7,8.4.7 (2022-04-19),2022-04-20 13:36:40+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.4.7,False,False
v8.5.0,8.5.0 (2022-04-21),2022-04-21 14:29:12+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.0,False,False
v8.5.1,8.5.1 (2022-04-27),2022-04-28 13:06:28+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.1,False,False
v8.5.2,8.5.2 (2022-05-03),2022-05-04 09:56:31+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.2,False,False
v7.5.16,7.5.16 (2022-05-19),2022-05-19 15:32:37+00:00,main,https://github.com/grafana/grafana/releases/tag/v7.5.16,False,False
v8.5.3,8.5.3 (2022-05-19),2022-05-19 17:01:44+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.3,False,False
v8.5.4,8.5.4 (2022-05-30),2022-05-31 17:35:55+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.4,False,False
v8.5.5,8.5.5 (2022-06-06),2022-06-07 17:11:56+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.5,False,False
v9.0.0,9.0.0 (2022-06-14),2022-06-14 14:39:59+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.0.0,False,False
v8.5.6,8.5.6 (2022-06-14),2022-06-14 16:05:04+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.6,False,False
v9.0.1,9.0.1 (2022-06-21),2022-06-21 17:53:22+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.0.1,False,False
v9.0.2,9.0.2 (2022-06-28),2022-06-28 15:15:59+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.0.2,False,False
v8.4.10,8.4.10 (2022-07-14),2022-07-14 14:14:31+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.4.10,False,False
v8.5.9,8.5.9 (2022-07-14),2022-07-14 17:22:31+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.9,False,False
v9.0.3,9.0.3 (2022-07-14),2022-07-14 22:37:18+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.0.3,False,False
v9.0.4,9.0.4 (2022-07-20),2022-07-20 17:07:17+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.0.4,False,False
v9.0.5,9.0.5 (2022-07-26),2022-07-26 14:26:52+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.0.5,False,False
v9.0.6,9.0.6 (2022-08-01),2022-08-02 08:28:03+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.0.6,False,False
v8.5.10,8.5.10 (2022-08-08),2022-08-08 13:29:23+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.10,False,False
v9.0.7,9.0.7 (2022-08-10),2022-08-10 13:36:09+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.0.7,False,False
v9.1.0,9.1.0 (2022-08-16),2022-08-16 14:02:19+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.1.0,False,False
v9.1.1,9.1.1 (2022-08-23),2022-08-23 16:01:36+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.1.1,False,False
v9.1.2,9.1.2 (2022-08-30),2022-08-30 17:42:27+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.1.2,False,False
v8.3.11,8.3.11 (2022-08-30),2022-08-30 18:53:20+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.3.11,False,False
v8.4.11,8.4.11 (2022-08-30),2022-08-30 18:53:47+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.4.11,False,False
v8.5.11,8.5.11 (2022-08-30),2022-08-30 18:53:56+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.11,False,False
v9.0.8,9.0.8 (2022-08-30),2022-08-30 18:54:27+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.0.8,False,False
