repository_slug,repository_name,repository_full_name,period,metric_name,metric_value,metric_note
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-02,deployment_frequency,1.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-06,deployment_frequency,1.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-09,deployment_frequency,1.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-10,deployment_frequency,1.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-11,deployment_frequency,2.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-12,deployment_frequency,1.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-02,deployment_frequency,1.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-03,deployment_frequency,2.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-04,deployment_frequency,1.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-05,deployment_frequency,3.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-06,deployment_frequency,5.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-07,deployment_frequency,3.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-08,deployment_frequency,3.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-09,deployment_frequency,3.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-10,deployment_frequency,4.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-11,deployment_frequency,1.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-12,deployment_frequency,2.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-01,deployment_frequency,3.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-02,deployment_frequency,6.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-03,deployment_frequency,3.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-04,deployment_frequency,2.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-05,deployment_frequency,3.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-06,deployment_frequency,2.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-07,deployment_frequency,5.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-08,deployment_frequency,1.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-09,deployment_frequency,3.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-10,deployment_frequency,2.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-11,deployment_frequency,3.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-12,deployment_frequency,4.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-01,deployment_frequency,3.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-02,deployment_frequency,2.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-03,deployment_frequency,3.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-04,deployment_frequency,2.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-05,deployment_frequency,3.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-07,deployment_frequency,2.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-08,deployment_frequency,3.0,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-09,deployment_frequency,2.0,
