repository_slug,repository_name,repository_full_name,period,metric_name,metric_value,metric_note
grafana,Grafana,grafana/grafana,2022-01,deployment_frequency,1.0,
grafana,Grafana,grafana/grafana,2022-02,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2022-03,deployment_frequency,4.0,
grafana,Grafana,grafana/grafana,2022-04,deployment_frequency,4.0,
grafana,Grafana,grafana/grafana,2022-05,deployment_frequency,4.0,
grafana,Grafana,grafana/grafana,2022-06,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2022-07,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2022-08,deployment_frequency,10.0,
grafana,Grafana,grafana/grafana,2022-09,deployment_frequency,6.0,
grafana,Grafana,grafana/grafana,2022-10,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2022-11,deployment_frequency,7.0,
grafana,Grafana,grafana/grafana,2022-12,deployment_frequency,3.0,
grafana,Grafana,grafana/grafana,2023-01,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2023-02,deployment_frequency,3.0,
grafana,Grafana,grafana/grafana,2023-03,deployment_frequency,6.0,
grafana,Grafana,grafana/grafana,2023-04,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2023-05,deployment_frequency,4.0,
grafana,Grafana,grafana/grafana,2023-06,deployment_frequency,12.0,
grafana,Grafana,grafana/grafana,2023-07,deployment_frequency,4.0,
grafana,Grafana,grafana/grafana,2023-08,deployment_frequency,4.0,
grafana,Grafana,grafana/grafana,2023-09,deployment_frequency,10.0,
grafana,Grafana,grafana/grafana,2023-10,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2023-11,deployment_frequency,3.0,
grafana,Grafana,grafana/grafana,2023-12,deployment_frequency,4.0,
grafana,Grafana,grafana/grafana,2024-01,deployment_frequency,2.0,
grafana,Grafana,grafana/grafana,2024-02,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2024-03,deployment_frequency,12.0,
grafana,Grafana,grafana/grafana,2024-04,deployment_frequency,2.0,
grafana,Grafana,grafana/grafana,2024-05,deployment_frequency,6.0,
grafana,Grafana,grafana/grafana,2024-06,deployment_frequency,7.0,
grafana,Grafana,grafana/grafana,2024-07,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2024-08,deployment_frequency,8.0,
grafana,Grafana,grafana/grafana,2024-09,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2024-10,deployment_frequency,17.0,
grafana,Grafana,grafana/grafana,2024-11,deployment_frequency,8.0,
grafana,Grafana,grafana/grafana,2024-12,deployment_frequency,6.0,
grafana,Grafana,grafana/grafana,2025-01,deployment_frequency,7.0,
grafana,Grafana,grafana/grafana,2025-02,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2025-03,deployment_frequency,7.0,
grafana,Grafana,grafana/grafana,2025-04,deployment_frequency,12.0,
grafana,Grafana,grafana/grafana,2025-05,deployment_frequency,8.0,
grafana,Grafana,grafana/grafana,2025-06,deployment_frequency,12.0,
grafana,Grafana,grafana/grafana,2025-07,deployment_frequency,11.0,
grafana,Grafana,grafana/grafana,2025-08,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2025-09,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2025-10,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2025-11,deployment_frequency,8.0,
grafana,Grafana,grafana/grafana,2025-12,deployment_frequency,5.0,
grafana,Grafana,grafana/grafana,2022-02,lead_time_days_mean,10.099995735867447,
grafana,Grafana,grafana/grafana,2022-03,lead_time_days_mean,3.551671296296296,
grafana,Grafana,grafana/grafana,2022-04,lead_time_days_mean,9.357056327160494,
grafana,Grafana,grafana/grafana,2022-09,lead_time_days_mean,1.4279050925925925,
grafana,Grafana,grafana/grafana,2022-11,lead_time_days_mean,4.466151420817369,
grafana,Grafana,grafana/grafana,2023-01,lead_time_days_mean,0.7552334104938271,
grafana,Grafana,grafana/grafana,2023-02,lead_time_days_mean,28.003191825048734,
grafana,Grafana,grafana/grafana,2023-03,lead_time_days_mean,0.798557098765432,
grafana,Grafana,grafana/grafana,2023-09,lead_time_days_mean,1.3617566872427984,
grafana,Grafana,grafana/grafana,2024-12,lead_time_days_mean,1.345005787037037,
grafana,Grafana,grafana/grafana,2025-01,lead_time_days_mean,31.770821458633957,
grafana,Grafana,grafana/grafana,2025-11,lead_time_days_mean,26.404938271604937,
grafana,Grafana,grafana/grafana,2022-02,lead_time_days_median,14.030914351851852,
grafana,Grafana,grafana/grafana,2022-03,lead_time_days_median,1.1904050925925924,
grafana,Grafana,grafana/grafana,2022-04,lead_time_days_median,8.066875,
grafana,Grafana,grafana/grafana,2022-09,lead_time_days_median,0.16582175925925927,
grafana,Grafana,grafana/grafana,2022-11,lead_time_days_median,5.030046296296296,
grafana,Grafana,grafana/grafana,2023-01,lead_time_days_median,0.1465798611111111,
grafana,Grafana,grafana/grafana,2023-02,lead_time_days_median,28.780833333333334,
grafana,Grafana,grafana/grafana,2023-03,lead_time_days_median,0.4929513888888889,
grafana,Grafana,grafana/grafana,2023-09,lead_time_days_median,0.10561342592592593,
grafana,Grafana,grafana/grafana,2024-12,lead_time_days_median,1.142008101851852,
grafana,Grafana,grafana/grafana,2025-01,lead_time_days_median,39.79954861111111,
grafana,Grafana,grafana/grafana,2025-11,lead_time_days_median,28.996631944444445,
grafana,Grafana,grafana/grafana,2022-02,lead_time_days_min,0.9408796296296297,
grafana,Grafana,grafana/grafana,2022-03,lead_time_days_min,0.09877314814814815,
grafana,Grafana,grafana/grafana,2022-04,lead_time_days_min,8.05988425925926,
grafana,Grafana,grafana/grafana,2022-09,lead_time_days_min,0.15839120370370371,
grafana,Grafana,grafana/grafana,2022-11,lead_time_days_min,0.14391203703703703,
grafana,Grafana,grafana/grafana,2023-01,lead_time_days_min,0.035729166666666666,
grafana,Grafana,grafana/grafana,2023-02,lead_time_days_min,0.5215393518518519,
grafana,Grafana,grafana/grafana,2023-03,lead_time_days_min,0.4858796296296296,
grafana,Grafana,grafana/grafana,2023-09,lead_time_days_min,0.08457175925925926,
grafana,Grafana,grafana/grafana,2024-12,lead_time_days_min,0.9201851851851852,
grafana,Grafana,grafana/grafana,2025-01,lead_time_days_min,4.301157407407407,
grafana,Grafana,grafana/grafana,2025-11,lead_time_days_min,20.228229166666665,
grafana,Grafana,grafana/grafana,2022-02,lead_time_days_max,21.802534722222223,
grafana,Grafana,grafana/grafana,2022-03,lead_time_days_max,15.188738425925926,
grafana,Grafana,grafana/grafana,2022-04,lead_time_days_max,11.944409722222222,
grafana,Grafana,grafana/grafana,2022-09,lead_time_days_max,3.9595023148148147,
grafana,Grafana,grafana/grafana,2022-11,lead_time_days_max,8.062372685185185,
grafana,Grafana,grafana/grafana,2023-01,lead_time_days_max,2.0601041666666666,
grafana,Grafana,grafana/grafana,2023-02,lead_time_days_max,32.07782407407407,
grafana,Grafana,grafana/grafana,2023-03,lead_time_days_max,1.4168402777777778,
grafana,Grafana,grafana/grafana,2023-09,lead_time_days_max,10.983090277777778,
grafana,Grafana,grafana/grafana,2024-12,lead_time_days_max,2.1758217592592595,
grafana,Grafana,grafana/grafana,2025-01,lead_time_days_max,54.766539351851854,
grafana,Grafana,grafana/grafana,2025-11,lead_time_days_max,29.989953703703705,
grafana,Grafana,grafana/grafana,2022-01,recovery_time_days_mean,9.754155092592592,
grafana,Grafana,grafana/grafana,2022-02,recovery_time_days_mean,22.186752260981912,
grafana,Grafana,grafana/grafana,2022-03,recovery_time_days_mean,25.815155723905722,
grafana,Grafana,grafana/grafana,2022-04,recovery_time_days_mean,48.69379665242165,
grafana,Grafana,grafana/grafana,2022-05,recovery_time_days_mean,20.968000121832358,
grafana,Grafana,grafana/grafana,2022-06,recovery_time_days_mean,50.03652644230769,
grafana,Grafana,grafana/grafana,2022-07,recovery_time_days_mean,36.68242034313726,
grafana,Grafana,grafana/grafana,2022-08,recovery_time_days_mean,62.410741185897436,
grafana,Grafana,grafana/grafana,2022-09,recovery_time_days_mean,49.62266840277778,
grafana,Grafana,grafana/grafana,2022-10,recovery_time_days_mean,61.80304249490316,
grafana,Grafana,grafana/grafana,2022-11,recovery_time_days_mean,69.13773404211734,
grafana,Grafana,grafana/grafana,2022-12,recovery_time_days_mean,68.3235999228395,
grafana,Grafana,grafana/grafana,2023-01,recovery_time_days_mean,78.44724252278071,
grafana,Grafana,grafana/grafana,2023-02,recovery_time_days_mean,112.16188605967078,
grafana,Grafana,grafana/grafana,2023-03,recovery_time_days_mean,85.14818287037038,
grafana,Grafana,grafana/grafana,2023-04,recovery_time_days_mean,88.23295401936026,
grafana,Grafana,grafana/grafana,2023-05,recovery_time_days_mean,62.46256590792181,
grafana,Grafana,grafana/grafana,2023-06,recovery_time_days_mean,97.66312451774691,
grafana,Grafana,grafana/grafana,2023-07,recovery_time_days_mean,81.70603867980884,
grafana,Grafana,grafana/grafana,2023-08,recovery_time_days_mean,100.28529863106641,
grafana,Grafana,grafana/grafana,2023-09,recovery_time_days_mean,105.52719085038987,
grafana,Grafana,grafana/grafana,2023-10,recovery_time_days_mean,99.53621281828704,
grafana,Grafana,grafana/grafana,2023-11,recovery_time_days_mean,104.25390385049683,
grafana,Grafana,grafana/grafana,2023-12,recovery_time_days_mean,84.07507485812427,
grafana,Grafana,grafana/grafana,2024-01,recovery_time_days_mean,168.1751748294347,
grafana,Grafana,grafana/grafana,2024-02,recovery_time_days_mean,115.23256988960114,
grafana,Grafana,grafana/grafana,2024-03,recovery_time_days_mean,269.9828094198029,
grafana,Grafana,grafana/grafana,2024-04,recovery_time_days_mean,97.5369017094017,
grafana,Grafana,grafana/grafana,2024-05,recovery_time_days_mean,181.27497902199073,
grafana,Grafana,grafana/grafana,2024-06,recovery_time_days_mean,153.30291628405266,
